Customer,Marketing Date,Marketing Touch
Customer 172,2022-05-15,Organic
Customer 14,2022-05-19,Direct
Customer 21,2022-05-22,Direct
Customer 127,2022-03-18,Direct
Customer 196,2022-02-22,Email
Customer 159,2022-05-04,Referral
Customer 33,2022-02-01,Direct
Customer 174,2022-04-25,Email
Customer 160,2022-05-12,Referral
Customer 190,2022-06-03,Referral
Customer 6,2022-01-24,Direct
Customer 182,2022-04-06,Organic
Customer 133,2022-06-20,Referral
Customer 200,2022-03-23,Direct
Customer 30,2022-02-12,Unknown
Customer 96,2022-03-01,Email
Customer 122,2022-02-06,Referral
Customer 28,2022-02-07,Unknown
Customer 102,2022-03-21,Direct
Customer 194,2022-06-21,Referral
Customer 170,2022-06-03,Direct
Customer 91,2022-01-19,Organic
Customer 155,2022-02-08,Direct
Customer 73,2022-04-10,Unknown
Customer 80,2022-04-24,Direct
Customer 42,2022-03-09,Email
Customer 188,2022-02-12,Unknown
Customer 127,2022-02-13,Direct
Customer 94,2022-03-10,Referral
Customer 56,2022-04-02,Direct
Customer 178,2022-04-14,Unknown
Customer 94,2022-06-06,Email
Customer 22,2022-04-26,Direct
Customer 190,2022-05-17,Email
Customer 118,2022-02-25,Direct
Customer 149,2022-01-13,Referral
Customer 19,2022-06-10,Direct
Customer 88,2022-03-31,Organic
Customer 97,2022-02-22,Referral
Customer 160,2022-02-20,Direct
Customer 143,2022-02-02,Email
Customer 73,2022-06-13,Direct
Customer 140,2022-01-23,Organic
Customer 121,2022-03-06,Referral
Customer 163,2022-04-11,Direct
Customer 98,2022-01-13,Referral
Customer 39,2022-03-01,Direct
Customer 40,2022-02-05,Organic
Customer 98,2022-02-14,Direct
Customer 145,2022-04-19,Unknown
Customer 165,2022-01-13,Organic
Customer 43,2022-06-19,Referral
Customer 118,2022-01-22,Email
Customer 138,2022-02-02,Organic
Customer 36,2022-01-15,Unknown
Customer 62,2022-05-31,Direct
Customer 192,2022-03-12,Referral
Customer 79,2022-06-01,Organic
Customer 198,2022-05-02,Unknown
Customer 116,2022-05-31,Direct
Customer 164,2022-04-16,Referral
Customer 195,2022-04-07,Referral
Customer 187,2022-05-13,Organic
Customer 196,2022-02-05,Referral
Customer 61,2022-01-01,Direct
Customer 153,2022-04-30,Email
Customer 176,2022-05-04,Direct
Customer 137,2022-05-16,Unknown
Customer 49,2022-06-11,Referral
Customer 100,2022-01-03,Direct
Customer 195,2022-03-02,Referral
Customer 119,2022-01-04,Email
Customer 27,2022-05-09,Organic
Customer 185,2022-03-18,Referral
Customer 74,2022-04-18,Organic
Customer 30,2022-04-02,Direct
Customer 148,2022-03-23,Organic
Customer 115,2022-06-04,Unknown
Customer 145,2022-04-16,Unknown
Customer 123,2022-02-12,Organic
Customer 117,2022-02-01,Email
Customer 123,2022-04-08,Direct
Customer 93,2022-06-20,Email
Customer 92,2022-03-30,Organic
Customer 143,2022-03-12,Direct
Customer 199,2022-06-01,Email
Customer 59,2022-01-15,Email
Customer 169,2022-05-09,Direct
Customer 139,2022-01-28,Referral
Customer 31,2022-03-31,Direct
Customer 189,2022-05-22,Direct
Customer 76,2022-04-17,Email
Customer 2,2022-06-18,Unknown
Customer 93,2022-01-17,Email
Customer 92,2022-01-24,Organic
Customer 181,2022-06-08,Email
Customer 172,2022-02-18,Email
Customer 25,2022-02-13,Organic
Customer 48,2022-02-10,Direct
Customer 127,2022-01-07,Referral
Customer 197,2022-03-03,Referral
Customer 121,2022-04-20,Organic
Customer 102,2022-04-22,Organic
Customer 64,2022-03-31,Unknown
Customer 177,2022-06-07,Unknown
